Question,Choices,Answer
Which Product Owner responsibility supports the team with value delivery?,Supporting the Architectural Runway,0
Which Product Owner responsibility supports the team with value delivery?,Understanding market forces,0
Which Product Owner responsibility supports the team with value delivery?,Testing benefit hypotheses,0
Which Product Owner responsibility supports the team with value delivery?,Fostering Built-in Quality,1
What is one responsibility of Product Management?,Connecting with the Customer,1
What is one responsibility of Product Management?,Getting it built,0
What is one responsibility of Product Management?,Supporting the team in delivering value,0
What is one responsibility of Product Management?,Managing and prioritizing the Team Backlog,0
Which of the following statements is one of the five Lean Thinking principles?,Identify the Value Stream for each product,1
Which of the following statements is one of the five Lean Thinking principles?,Decentralize decision-making,0
Which of the following statements is one of the five Lean Thinking principles?,Customer collaboration over contract negotiation,0
Which of the following statements is one of the five Lean Thinking principles?,Deliver working software frequently,0
What system delivers a product or service to a Customer?,Operational Value Stream,1
What system delivers a product or service to a Customer?,Kanban System,0
What system delivers a product or service to a Customer?,Development Value Stream,0
What system delivers a product or service to a Customer?,Dual Operating System,0
Which of the following Agile Manifesto principles aligns with conducting a System Demo?,"Welcome changing requirements, even late in development",1
Which of the following Agile Manifesto principles aligns with conducting a System Demo?,Working software is the primary measure of progress,0
Which of the following Agile Manifesto principles aligns with conducting a System Demo?,The best way to convey information is a face-to-face conversation,0
Which of the following Agile Manifesto principles aligns with conducting a System Demo?,The team reflects on how to become more effective at regular intervals,0
Which of the following roles has content authority for the ART Backlog?,Product Owner,1
Which of the following roles has content authority for the ART Backlog?,Business Owner,0
Which of the following roles has content authority for the ART Backlog?,System Architect,0
Which of the following roles has content authority for the ART Backlog?,Product Management,0
What is a pattern for splitting Features into Stories?,Variations in data,1
What is a pattern for splitting Features into Stories?,Team skills,0
What is a pattern for splitting Features into Stories?,﻿﻿Tasks to complete,0
What is a pattern for splitting Features into Stories?,﻿﻿Layers of the technology stack,0
What is one question that helps Product Management create a Vision?,What problem(s) will the Solution solve?,1
What is one question that helps Product Management create a Vision?,What are the teams' skills?,0
What is one question that helps Product Management create a Vision?,How many Features have been released to the Customer?,0
What is one question that helps Product Management create a Vision?,Which themes are on the Roadmap?,0
What is one benefit of capacity allocation?,It prevents different types of backlog items from being compared against each another,1
What is one benefit of capacity allocation?,It allocates developers and testers to an initiative,0
What is one benefit of capacity allocation?,It ensures all Value Streams in the Portfolio are appropriately funded,0
What is one benefit of capacity allocation?,It enables effective time-tracking,0
Which role ensures that the ART has the Vision and Backlog needed to engage in PI Planning successfully?,Product Owner,1
Which role ensures that the ART has the Vision and Backlog needed to engage in PI Planning successfully?,Release Train Engineer,0
Which role ensures that the ART has the Vision and Backlog needed to engage in PI Planning successfully?,Lean-Agile Center of Excellence,0
Which role ensures that the ART has the Vision and Backlog needed to engage in PI Planning successfully?,Product Management,0
What unit of time is used on Solution Roadmaps?,Days,1
What unit of time is used on Solution Roadmaps?,PIs,0
What unit of time is used on Solution Roadmaps?,Iterations,0
What unit of time is used on Solution Roadmaps?,Years,0
Communicating and refining the Vision to the Agile Release Train during PI Planning supports which SAFe core value?,Transparency,1
Communicating and refining the Vision to the Agile Release Train during PI Planning supports which SAFe core value?,Respect for People,0
Communicating and refining the Vision to the Agile Release Train during PI Planning supports which SAFe core value?,Relentless Improvement,0
